"municipalityGeoLevelnummer","municipalityGeoLevelname","cantonGeoLevelnummer","cantonGeoLevelname","yesVotesDiff"
"1","Aeugst am Albis","1","Zürich",-1.780309969696969
"10","Obfelden","1","Zürich",-0.9794614848484842
"100","Stadel","1","Zürich",4.2054388181818165
"1001","Doppleschwand","3","Luzern",7.9268376363636355
"1002","Entlebuch","3","Luzern",8.292219696969694
"1004","Flühli","3","Luzern",7.719794
"1005","Hasle (LU)","3","Luzern",8.72738490909091
"1007","Romoos","3","Luzern",8.174858909090908
"1008","Schüpfheim","3","Luzern",5.8284996969696925
"1009","Werthenstein","3","Luzern",6.574571333333334
"101","Steinmaur","1","Zürich",0.5719829393939393
"1010","Escholzmatt-Marbach","3","Luzern",8.880167636363636
"102","Weiach","1","Zürich",4.397026030303031
"1021","Aesch (LU)","3","Luzern",5.8675093030303005
"1022","Altwis","3","Luzern",5.092109272727275
"1023","Ballwil","3","Luzern",4.622847575757577
"1024","Emmen","3","Luzern",0.6854003939393943
"1025","Ermensee","3","Luzern",5.183111939393935
"1026","Eschenbach (LU)","3","Luzern",2.7983837575757566
"1030","Hitzkirch","3","Luzern",3.019229424242425
"1031","Hochdorf","3","Luzern",0.605395515151515
"1032","Hohenrain","3","Luzern",3.97142472727273
"1033","Inwil","3","Luzern",4.66334115151515
"1037","Rain","3","Luzern",4.822000818181817
"1039","Römerswil","3","Luzern",5.9046994242424296
"1040","Rothenburg","3","Luzern",0.8296814242424241
"1041","Schongau","3","Luzern",7.393389606060604
"1051","Adligenswil","3","Luzern",-3.0444846969696977
"1052","Buchrain","3","Luzern",0.139723727272727
"1053","Dierikon","3","Luzern",2.289480909090911
"1054","Ebikon","3","Luzern",-0.4805865454545451
"1055","Gisikon","3","Luzern",2.226812242424242
"1056","Greppen","3","Luzern",3.8213335151515113
"1057","Honau","3","Luzern",5.669523424242426
"1058","Horw","3","Luzern",-1.437155848484848
"1059","Kriens","3","Luzern",-1.3461301515151514
"1061","Luzern","3","Luzern",-2.9331755757575735
"1062","Malters","3","Luzern",3.97026296969697
"1063","Meggen","3","Luzern",0.008501303030303114
"1064","Meierskappel","3","Luzern",3.7777957575757566
"1065","Root","3","Luzern",3.7006372424242437
"1066","Schwarzenberg","3","Luzern",6.356711212121211
"1067","Udligenswil","3","Luzern",1.661124727272727
"1068","Vitznau","3","Luzern",2.249923151515152
"1069","Weggis","3","Luzern",2.880458424242421
"1081","Beromünster","3","Luzern",4.139193848484848
"1082","Büron","3","Luzern",5.242498181818186
"1083","Buttisholz","3","Luzern",5.126341090909087
"1084","Eich","3","Luzern",2.507225212121213
"1085","Geuensee","3","Luzern",1.7235763333333332
"1086","Grosswangen","3","Luzern",7.103384363636366
"1088","Hildisrieden","3","Luzern",1.4295483939393934
"1089","Knutwil","3","Luzern",3.5047799696969695
"1091","Mauensee","3","Luzern",3.5304026666666672
"1093","Neuenkirch","3","Luzern",3.2138003939393958
"1094","Nottwil","3","Luzern",3.3032173030303023
"1095","Oberkirch","3","Luzern",2.5563974545454533
"1097","Rickenbach (LU)","3","Luzern",6.260606696969702
"1098","Ruswil","3","Luzern",4.546316606060604
"1099","Schenkon","3","Luzern",3.3800440606060604
"11","Ottenbach","1","Zürich",-1.3349477272727275
"1100","Schlierbach","3","Luzern",7.591846666666667
"1102","Sempach","3","Luzern",-0.2544472424242429
"1103","Sursee","3","Luzern",0.20418881818181833
"1104","Triengen","3","Luzern",4.544798393939394
"1107","Wolhusen","3","Luzern",3.337742515151515
"111","Bäretswil","1","Zürich",2.4330584848484853
"112","Bubikon","1","Zürich",0.1198058181818182
"1121","Alberswil","3","Luzern",7.098468363636371
"1122","Altbüron","3","Luzern",5.105316272727275
"1123","Altishofen","3","Luzern",5.884159515151511
"1125","Dagmersellen","3","Luzern",4.550714545454545
